Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Per_90_MinutesGls,Per_90_MinutesAst,Per_90_MinutesG+A,Per_90_MinutesG-PK,G+A-PK,Per_90_MinutesxG,Per_90_MinutesxAG,xG+xAG,Per_90_MinutesnpxG,Per_90_MinutesnpxG+xAG
Pedro Porro,es ESP,DF,25.57,43,36,3446,38.3,2,7,9,2,0,0,6,0,2.5,2.5,5.3,7.8,74,182,125,0.05,0.18,0.24,0.05,0.24,0.07,0.16,0.23,0.07,0.23
Dejan Kulusevski,se SWE,"MF,FW",24.96,42,31,3055,33.9,10,10,20,10,0,0,5,0,4.6,4.6,7.4,12.0,136,139,244,0.29,0.29,0.59,0.29,0.59,0.16,0.26,0.42,0.16,0.42
Son Heung-min,kr KOR,FW,32.76,42,35,2970,33.0,11,11,22,9,2,3,1,0,9.4,7.1,9.7,16.8,120,131,340,0.33,0.33,0.67,0.27,0.61,0.33,0.34,0.67,0.25,0.59
Archie Gray,eng ENG,"DF,MF",19.08,39,29,2756,30.6,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,15,58,17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Dominic Solanke,eng ENG,FW,27.57,35,29,2711,30.1,11,8,19,11,0,0,0,0,12.3,12.3,4.4,16.7,38,54,103,0.37,0.27,0.63,0.37,0.63,0.47,0.17,0.64,0.47,0.64
Brennan Johnson,wls WAL,FW,23.88,41,28,2608,29.0,16,3,19,16,0,0,5,0,11.3,11.3,3.0,14.2,59,75,213,0.55,0.10,0.66,0.55,0.66,0.45,0.12,0.56,0.45,0.56
James Maddison,eng ENG,MF,28.38,40,27,2397,26.6,11,8,19,11,0,0,8,0,7.0,7.0,5.2,12.2,57,194,106,0.41,0.30,0.71,0.41,0.71,0.29,0.21,0.50,0.29,0.50
Pape Matar Sarr,sn SEN,MF,22.57,44,26,2335,25.9,6,2,8,6,0,0,8,0,3.9,3.9,1.7,5.5,36,97,67,0.23,0.08,0.31,0.23,0.31,0.18,0.08,0.25,0.18,0.25
Rodrigo Bentancur,uy URU,MF,27.79,34,29,2264,25.2,2,1,3,2,0,0,11,0,1.4,1.4,0.4,1.9,32,120,43,0.08,0.04,0.12,0.08,0.12,0.07,0.02,0.09,0.07,0.09
Destiny Udogie,it ITA,DF,22.36,29,26,2196,24.4,0,1,1,0,0,0,2,0,0.3,0.3,1.6,1.9,61,131,111,0.00,0.04,0.04,0.00,0.04,0.01,0.07,0.08,0.01,0.08
Radu Drăgușin,ro ROU,DF,23.18,28,25,2179,24.2,0,0,0,0,0,0,4,1,0.1,0.1,0.4,0.5,7,49,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Guglielmo Vicario,it ITA,GK,28.51,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Bergvall,se SWE,MF,19.18,40,21,2024,22.5,1,2,3,1,0,0,8,0,1.3,1.3,1.3,2.6,37,79,51,0.04,0.09,0.13,0.04,0.13,0.07,0.07,0.14,0.07,0.14
Yves Bissouma,ml MLI,MF,28.61,36,22,1993,22.1,2,0,2,2,0,0,10,0,0.6,0.6,0.3,0.9,19,88,8,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Djed Spence,eng ENG,DF,24.67,26,19,1858,20.6,2,3,5,2,0,0,4,1,0.5,0.5,2.0,2.4,49,90,69,0.10,0.15,0.24,0.10,0.24,0.03,0.12,0.15,0.03,0.15
Ben Davies,wls WAL,DF,31.96,21,18,1658,18.4,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,16,82,17,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Cristian Romero,ar ARG,DF,26.95,19,19,1512,16.8,1,0,1,1,0,0,2,0,1.4,1.4,0.5,1.9,14,66,3,0.06,0.00,0.06,0.06,0.06,0.08,0.03,0.12,0.08,0.12
Fraser Forster,eng ENG,GK,37.07,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Micky van de Ven,nl NED,DF,23.97,15,14,1113,12.4,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.8,8,68,1,0.00,0.16,0.16,0.00,0.16,0.05,0.10,0.14,0.05,0.14
Timo Werner,de GER,"FW,MF",29.10,27,10,953,10.6,1,3,4,1,0,0,0,0,1.5,1.5,3.2,4.7,57,40,110,0.09,0.28,0.38,0.09,0.38,0.19,0.41,0.60,0.19,0.60
Antonín Kinský,cz CZE,GK,22.08,8,8,750,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Mikey Moore,eng ENG,"FW,MF",17.66,16,7,637,7.1,1,2,3,1,0,0,0,0,0.9,0.9,0.7,1.6,27,28,75,0.14,0.28,0.42,0.14,0.42,0.16,0.14,0.30,0.16,0.30
Kevin Danso,at AUT,DF,26.56,7,7,617,6.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
Wilson Odobert,fr FRA,FW,20.36,14,7,591,6.6,2,0,2,2,0,0,0,0,2.2,2.2,0.3,2.4,38,22,51,0.30,0.00,0.30,0.30,0.30,0.34,0.04,0.38,0.34,0.38
Richarlison,br BRA,FW,27.92,14,6,543,6.0,3,1,4,2,1,1,1,0,2.4,1.6,0.9,2.6,12,13,30,0.50,0.17,0.66,0.33,0.50,0.46,0.18,0.63,0.31,0.49
Mathys Tel,fr FRA,FW,19.95,9,6,493,5.5,2,0,2,1,1,1,0,0,1.6,0.8,0.1,0.9,8,5,17,0.37,0.00,0.37,0.18,0.18,0.40,0.03,0.43,0.21,0.23
Brandon Austin,eng ENG,GK,26.25,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Reguilón,es ESP,DF,28.31,5,1,244,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Will Lankshear,eng ENG,"FW,MF",19.97,6,2,146,1.6,1,0,1,1,0,0,2,1,1.5,1.5,0.1,1.5,3,1,14,0.62,0.00,0.62,0.62,0.62,0.90,0.05,0.95,0.90,0.95
Dane Scarlett,eng ENG,"FW,MF",21.05,5,0,60,0.7,1,2,3,1,0,0,0,0,0.2,0.2,0.2,0.4,1,3,3,1.50,3.00,4.50,1.50,4.50,0.37,0.24,0.61,0.37,0.61
Alfie Dorrington,eng ENG,DF,19.97,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oyindamola Ajayi,eng ENG,FW,19.28,1,0,10,0.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,9.00,0.00,9.00,9.00,9.00,1.04,0.18,1.22,1.04,1.22
Callum Olusesi,eng ENG,MF,18.23,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rio Kyerematen,eng ENG,DF,19.84,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Luca Williams Barnett,eng ENG,FW,16.52,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malachi Hardy,eng ENG,DF,17.08,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dante Cassanova,jm JAM,DF,20.80,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yang Minhyeok,kr KOR,MF,18.98,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maeson King,eng ENG,DF,19.58,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Devine,eng ENG,MF,20.69,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Whiteman,eng ENG,GK,26.52,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
